Customer_ID,Tenure_Months,Contract_Type,Service_Tier,Payment_Method,Autopay_Enrolled,Monthly_Charges,Total_Charges,Avg_Monthly_Usage_GB,Num_Support_Tickets,Satisfaction_Score,Num_Addon_Services,Churn
CUST200070,72,Two Year,Standard,Credit Card,1,52.38,3534.36,63.4,1,4,2,No
CUST200071,54,Month-to-Month,Premium,Credit Card,0,98.12,5158.51,86.6,4,3,1,Yes
CUST200072,17,Month-to-Month,Premium,Credit Card,0,99.18,1649.45,75.7,1,4,0,Yes
CUST200073,42,Month-to-Month,Basic,Credit Card,1,15.0,616.37,17.2,0,3,1,Yes
CUST200074,72,One Year,Basic,Bank Transfer,1,30.32,2095.64,10.5,1,2,0,No
CUST200075,32,Month-to-Month,Standard,Bank Transfer,1,47.78,1508.64,36.5,3,3,1,Yes
CUST200076,16,Month-to-Month,Standard,Digital Wallet,1,60.1,896.32,46.7,0,1,2,No
CUST200077,6,Month-to-Month,Standard,Credit Card,1,62.69,365.51,64.4,4,3,1,Yes
CUST200078,53,Month-to-Month,Basic,Credit Card,0,20.29,1041.76,43.2,1,3,0,No
CUST200079,8,Month-to-Month,Standard,Digital Wallet,0,44.55,347.19,68.9,0,3,0,Yes
CUST200080,49,Month-to-Month,Basic,Digital Wallet,0,28.05,1343.28,36.8,0,5,0,No
CUST200081,10,Month-to-Month,Basic,Digital Wallet,1,31.19,298.04,15.0,1,4,2,Yes
CUST200082,23,Month-to-Month,Premium,Credit Card,1,91.12,2059.84,98.5,1,3,1,No
CUST200083,21,One Year,Premium,Bank Transfer,1,93.19,1840.38,104.1,1,3,0,Yes
CUST200084,47,One Year,Standard,Credit Card,1,56.67,2631.33,59.8,2,4,1,No
CUST200085,7,Month-to-Month,Premium,Bank Transfer,0,102.69,715.17,92.4,3,3,2,Yes
CUST200086,13,Month-to-Month,Premium,Bank Transfer,1,89.7,1139.32,74.6,1,3,1,Yes
CUST200087,46,One Year,Standard,Credit Card,1,52.6,2373.51,29.0,2,5,1,No
CUST200088,9,Two Year,Standard,Digital Wallet,1,52.56,447.93,36.6,4,1,2,Yes
CUST200089,43,One Year,Standard,Mailed Check,1,47.67,1942.15,58.1,3,4,0,No
CUST200090,20,One Year,Standard,Credit Card,0,51.49,1029.0,37.1,2,3,2,Yes
CUST200091,47,Two Year,Basic,Digital Wallet,1,25.89,1171.56,35.4,0,4,2,No
CUST200092,23,Month-to-Month,Premium,Credit Card,0,96.86,2076.01,90.4,3,3,1,No
CUST200093,8,Two Year,Standard,Digital Wallet,0,64.63,478.21,73.4,1,3,2,No
CUST200094,55,Month-to-Month,Basic,Digital Wallet,1,29.73,1560.44,31.3,2,5,0,No
CUST200095,41,Month-to-Month,Premium,Bank Transfer,1,91.11,3712.85,89.5,1,2,2,Yes
CUST200096,7,One Year,Standard,Digital Wallet,0,53.84,361.32,51.9,0,3,3,No
CUST200097,7,One Year,Basic,Mailed Check,1,22.95,153.58,31.0,2,4,1,No
CUST200098,9,Month-to-Month,Basic,Bank Transfer,1,15.0,127.51,2.0,1,2,0,Yes
CUST200099,8,One Year,Standard,Bank Transfer,1,59.68,458.72,49.1,2,3,0,No
CUST200100,8,Month-to-Month,Standard,Mailed Check,1,59.06,471.96,69.4,0,4,2,No
CUST200101,18,Month-to-Month,Basic,Credit Card,0,23.22,408.69,24.8,0,5,5,No
CUST200102,17,One Year,Basic,Digital Wallet,1,35.19,594.43,16.6,1,4,2,No
CUST200103,32,Month-to-Month,Standard,Digital Wallet,0,51.9,1654.88,63.0,2,2,0,Yes
CUST200104,3,One Year,Premium,Digital Wallet,0,89.7,260.61,75.1,1,4,3,No
CUST200105,4,One Year,Premium,Digital Wallet,0,89.28,342.51,112.9,2,4,0,No
CUST200106,54,Two Year,Basic,Credit Card,0,27.87,1392.51,12.3,4,2,1,No
CUST200107,36,One Year,Standard,Digital Wallet,0,62.73,2159.47,85.8,2,2,1,Yes
CUST200108,31,Month-to-Month,Standard,Bank Transfer,0,61.98,1800.98,52.2,0,3,2,Yes
CUST200109,9,Month-to-Month,Standard,Credit Card,1,46.28,405.88,52.4,1,5,2,No
CUST200110,33,Month-to-Month,Basic,Credit Card,0,28.43,905.35,40.0,1,4,0,No
CUST200111,38,Month-to-Month,Premium,Digital Wallet,1,82.5,2888.63,100.0,3,2,1,No
CUST200112,64,Month-to-Month,Basic,Credit Card,1,25.0,1542.58,19.8,3,1,3,No
CUST200113,55,One Year,Standard,Bank Transfer,0,43.09,2243.26,33.7,1,4,0,No
CUST200114,50,Two Year,Premium,Credit Card,0,96.58,4725.74,89.7,0,3,2,Yes
CUST200115,23,Two Year,Standard,Mailed Check,1,58.23,1238.3,71.0,1,4,0,No
CUST200116,72,Month-to-Month,Standard,Digital Wallet,1,64.92,4619.62,48.8,2,4,1,No
CUST200117,17,Month-to-Month,Standard,Bank Transfer,1,52.71,843.93,51.3,3,3,0,No
CUST200118,8,One Year,Standard,Bank Transfer,0,59.88,446.56,60.5,3,3,1,No
CUST200119,8,Month-to-Month,Standard,Bank Transfer,0,54.05,413.86,77.9,0,4,0,No
CUST200120,25,Month-to-Month,Premium,Credit Card,1,95.28,2316.17,74.8,2,5,1,No
CUST200121,19,One Year,Standard,Bank Transfer,1,46.22,875.63,42.9,3,3,0,No
CUST200122,50,Month-to-Month,Standard,Bank Transfer,1,44.32,2042.33,56.8,0,3,1,No
CUST200123,28,One Year,Standard,Bank Transfer,1,66.56,1767.63,54.8,3,4,1,No
CUST200124,42,Two Year,Premium,Mailed Check,1,89.22,3518.58,91.1,0,5,1,No
CUST200125,17,Month-to-Month,Basic,Bank Transfer,1,23.37,395.65,27.7,3,4,3,No
CUST200126,31,Month-to-Month,Standard,Bank Transfer,0,55.13,1625.89,48.2,1,3,2,Yes
CUST200127,5,One Year,Basic,Bank Transfer,0,22.45,104.69,35.6,3,1,1,Yes
CUST200128,36,Two Year,Standard,Digital Wallet,1,57.49,1968.7,37.9,2,4,0,No
CUST200129,31,Month-to-Month,Premium,Mailed Check,0,100.69,3040.72,92.7,4,3,0,No
CUST200130,62,Month-to-Month,Standard,Bank Transfer,1,58.82,3621.1,63.0,1,2,0,No
CUST200131,51,Two Year,Basic,Credit Card,1,32.69,1637.9,16.0,1,4,1,No
CUST200132,46,Two Year,Premium,Bank Transfer,0,115.68,5034.51,100.5,3,3,1,No
CUST200133,52,Month-to-Month,Basic,Digital Wallet,1,26.64,1314.83,5.4,1,5,1,No
CUST200134,9,Month-to-Month,Premium,Bank Transfer,1,100.68,883.33,110.8,0,3,0,No
CUST200135,69,One Year,Standard,Mailed Check,0,59.19,4073.99,62.4,0,3,1,No
CUST200136,5,Two Year,Basic,Digital Wallet,1,23.49,112.62,50.9,3,3,3,No
CUST200137,11,Month-to-Month,Basic,Credit Card,1,30.93,339.09,39.8,1,2,1,No
CUST200138,33,One Year,Basic,Bank Transfer,0,22.14,675.22,6.3,1,3,1,No
CUST200139,34,One Year,Premium,Digital Wallet,0,87.74,2955.27,87.9,2,4,2,No
CUST200140,40,Month-to-Month,Basic,Mailed Check,0,28.7,1077.8,32.5,1,3,0,No
CUST200141,22,Month-to-Month,Standard,Credit Card,1,64.17,1315.81,41.6,2,3,2,No
CUST200142,31,Month-to-Month,Standard,Credit Card,1,47.98,1401.91,70.3,1,3,1,Yes
CUST200143,30,Month-to-Month,Standard,Bank Transfer,0,60.16,1665.92,66.2,2,2,1,Yes
CUST200144,13,One Year,Basic,Bank Transfer,1,29.42,370.3,39.5,0,3,0,No
CUST200145,10,Month-to-Month,Basic,Credit Card,1,21.15,202.37,2.0,1,3,2,No
CUST200146,14,Month-to-Month,Premium,Mailed Check,1,90.23,1171.1,67.4,0,4,2,No
CUST200147,35,Month-to-Month,Basic,Credit Card,0,15.0,503.14,21.0,3,4,2,No
CUST200148,41,Month-to-Month,Premium,Digital Wallet,0,92.74,3709.99,46.2,1,3,0,Yes
CUST200149,28,Month-to-Month,Premium,Digital Wallet,1,100.06,2602.7,90.3,1,4,2,No
CUST200150,19,Month-to-Month,Basic,Credit Card,0,32.35,611.97,50.8,1,3,0,No
CUST200151,22,Month-to-Month,Basic,Credit Card,1,39.21,803.43,23.8,1,4,0,No
CUST200152,72,One Year,Standard,Bank Transfer,1,57.86,3949.32,58.2,2,4,0,No
CUST200153,36,Month-to-Month,Basic,Credit Card,1,22.57,765.01,2.0,2,3,1,No
CUST200154,43,Month-to-Month,Standard,Credit Card,1,62.1,2495.12,73.1,0,5,0,No
CUST200155,72,Month-to-Month,Basic,Digital Wallet,1,31.9,2187.03,10.2,0,3,0,No
CUST200156,18,One Year,Premium,Bank Transfer,1,81.11,1358.44,97.2,1,4,1,No
CUST200157,37,Two Year,Premium,Bank Transfer,1,96.95,3307.23,89.5,1,3,1,No
CUST200158,11,Two Year,Basic,Mailed Check,1,22.08,239.26,10.9,3,4,1,No
CUST200159,13,Month-to-Month,Basic,Bank Transfer,1,37.66,462.44,27.2,1,1,2,No
CUST200160,15,Month-to-Month,Standard,Credit Card,1,57.69,864.34,68.4,4,5,0,No
CUST200161,31,Two Year,Basic,Bank Transfer,1,30.75,953.11,7.9,0,2,0,No
CUST200162,13,Two Year,Standard,Bank Transfer,1,51.85,623.03,55.5,0,4,0,No
CUST200163,16,Month-to-Month,Premium,Digital Wallet,1,94.54,1426.73,78.8,2,4,0,No
CUST200164,10,One Year,Premium,Digital Wallet,0,83.32,819.02,85.7,1,4,0,No
CUST200165,72,Two Year,Basic,Credit Card,1,23.42,1613.01,58.3,3,3,5,No
CUST200166,15,One Year,Standard,Bank Transfer,1,67.41,954.81,57.1,1,2,1,No
CUST200167,21,Two Year,Premium,Mailed Check,1,98.32,1951.24,86.0,2,3,0,No
CUST200168,16,Month-to-Month,Standard,Credit Card,1,51.35,821.33,48.1,0,4,1,No
CUST200169,15,Month-to-Month,Standard,Credit Card,1,49.59,702.3,73.7,2,2,0,Yes
CUST200170,25,Month-to-Month,Standard,Bank Transfer,0,60.4,1416.01,65.4,2,4,1,Yes
CUST200171,64,Month-to-Month,Premium,Mailed Check,0,96.89,5884.83,116.7,0,4,1,Yes
CUST200172,15,Two Year,Basic,Credit Card,1,24.02,353.23,27.8,1,2,1,Yes
CUST200173,23,Month-to-Month,Basic,Bank Transfer,0,21.89,493.58,39.4,1,2,0,Yes
CUST200174,36,One Year,Basic,Credit Card,1,30.58,1066.64,44.2,2,2,1,Yes
CUST200175,60,Month-to-Month,Standard,Credit Card,1,44.44,2468.45,40.0,1,3,2,No
CUST200176,27,Month-to-Month,Standard,Credit Card,0,51.36,1332.63,49.1,0,4,0,No
CUST200177,28,Month-to-Month,Basic,Bank Transfer,1,22.24,621.93,23.5,2,4,1,No
CUST200178,13,Month-to-Month,Basic,Digital Wallet,1,21.61,271.67,2.0,2,3,0,No
CUST200179,49,Month-to-Month,Basic,Bank Transfer,1,31.13,1452.56,37.6,0,4,2,No
CUST200180,4,Month-to-Month,Premium,Digital Wallet,1,100.84,374.53,80.2,0,5,2,No
CUST200181,72,Month-to-Month,Basic,Mailed Check,1,21.04,1414.09,6.9,1,3,1,No
CUST200182,12,One Year,Basic,Credit Card,0,29.08,328.06,17.6,3,2,2,Yes
CUST200183,47,Month-to-Month,Premium,Digital Wallet,1,92.67,4124.52,95.1,0,3,1,No
CUST200184,72,Month-to-Month,Premium,Credit Card,1,90.18,6240.97,117.9,1,4,0,No
CUST200185,61,Month-to-Month,Basic,Bank Transfer,0,21.13,1234.51,26.1,0,3,1,No
CUST200186,15,Month-to-Month,Standard,Credit Card,1,51.58,726.79,80.1,1,4,0,Yes
CUST200187,17,Month-to-Month,Standard,Bank Transfer,1,57.09,967.19,68.5,4,3,1,No
CUST200188,31,Two Year,Basic,Digital Wallet,1,24.07,745.33,35.1,0,2,3,No
CUST200189,16,Two Year,Basic,Credit Card,1,18.4,273.15,29.7,3,3,1,No
CUST200190,45,Month-to-Month,Standard,Digital Wallet,0,43.89,1925.33,44.3,0,2,4,No
CUST200191,16,Month-to-Month,Basic,Digital Wallet,0,26.72,393.35,30.1,1,4,2,No
CUST200192,36,Month-to-Month,Premium,Bank Transfer,1,100.68,3337.95,108.5,2,3,0,Yes
CUST200193,53,Month-to-Month,Premium,Credit Card,0,90.16,4756.47,81.1,1,4,3,Yes
CUST200194,2,Month-to-Month,Premium,Credit Card,1,98.29,181.35,119.9,0,2,1,No
CUST200195,30,Month-to-Month,Basic,Mailed Check,0,32.36,935.31,2.0,0,5,1,Yes
CUST200196,10,Two Year,Premium,Credit Card,0,91.92,917.14,97.1,1,4,0,Yes
CUST200197,6,Month-to-Month,Standard,Digital Wallet,1,61.55,369.25,63.9,1,5,0,No
CUST200198,26,One Year,Basic,Bank Transfer,1,22.48,547.1,30.5,4,4,2,No
CUST200199,8,One Year,Standard,Digital Wallet,1,53.44,415.49,50.0,1,3,1,Yes
CUST200200,42,One Year,Standard,Credit Card,1,48.57,2001.8,30.9,1,4,1,No
CUST200201,11,Month-to-Month,Standard,Digital Wallet,1,50.75,551.38,53.9,0,2,2,Yes
CUST200202,8,One Year,Basic,Mailed Check,1,22.43,167.39,26.1,2,3,1,Yes
CUST200203,15,Two Year,Premium,Digital Wallet,1,107.66,1519.91,98.7,1,3,0,No
CUST200204,6,One Year,Premium,Credit Card,0,90.19,512.75,71.7,1,3,0,No
CUST200205,64,Month-to-Month,Premium,Credit Card,0,95.88,5646.2,103.1,2,2,1,No
CUST200206,15,One Year,Basic,Bank Transfer,1,24.35,364.42,10.6,1,3,0,No
CUST200207,17,One Year,Basic,Digital Wallet,0,22.66,355.29,26.6,1,2,2,Yes
CUST200208,39,One Year,Standard,Digital Wallet,0,51.57,1888.99,59.9,0,4,2,No
CUST200209,8,Month-to-Month,Premium,Credit Card,1,92.75,695.39,100.6,0,4,1,Yes
CUST200210,46,Two Year,Standard,Bank Transfer,1,49.17,2226.88,80.2,1,5,2,No
CUST200211,29,Two Year,Premium,Credit Card,1,86.83,2334.4,102.2,1,5,1,No
CUST200212,12,Month-to-Month,Standard,Digital Wallet,1,51.03,596.4,65.3,1,3,1,No
CUST200213,28,One Year,Standard,Digital Wallet,1,62.33,1698.24,41.8,1,3,1,No
CUST200214,24,Month-to-Month,Standard,Credit Card,1,54.78,1234.59,46.2,0,3,0,No
CUST200215,44,Two Year,Standard,Mailed Check,1,50.83,2177.07,49.0,3,2,3,No
CUST200216,3,One Year,Premium,Bank Transfer,1,102.6,285.88,76.6,1,3,2,No
CUST200217,15,One Year,Basic,Bank Transfer,1,25.11,360.51,33.2,1,4,1,No
CUST200218,23,One Year,Basic,Credit Card,1,24.76,562.15,28.2,1,3,1,No
CUST200219,72,Month-to-Month,Standard,Credit Card,1,51.01,3419.39,75.5,2,4,2,No
CUST200220,45,Month-to-Month,Basic,Digital Wallet,0,30.35,1330.59,31.7,1,3,0,Yes
CUST200221,27,Month-to-Month,Basic,Digital Wallet,1,22.08,584.09,4.6,1,3,0,Yes
CUST200222,17,One Year,Premium,Mailed Check,1,88.08,1409.36,98.0,0,4,0,Yes
CUST200223,72,Month-to-Month,Standard,Credit Card,1,41.12,2932.81,31.8,0,5,1,No
CUST200224,53,Two Year,Premium,Digital Wallet,1,87.59,4438.41,111.5,1,4,0,No
CUST200225,13,Month-to-Month,Premium,Bank Transfer,1,95.2,1206.98,108.8,2,4,1,Yes
CUST200226,20,Month-to-Month,Standard,Mailed Check,0,51.68,1030.47,53.5,1,3,1,No
CUST200227,27,Month-to-Month,Standard,Digital Wallet,0,49.13,1303.1,32.2,2,2,1,Yes
CUST200228,56,One Year,Standard,Bank Transfer,1,55.2,3037.39,83.7,0,4,0,No
CUST200229,19,One Year,Premium,Digital Wallet,1,93.38,1759.9,106.7,2,2,0,Yes
CUST200230,7,One Year,Basic,Mailed Check,1,17.64,120.85,5.2,1,3,1,No
CUST200231,13,Month-to-Month,Standard,Credit Card,1,52.99,641.79,38.8,0,3,1,No
CUST200232,21,One Year,Basic,Credit Card,0,24.31,476.21,2.0,0,3,1,No
CUST200233,46,Month-to-Month,Basic,Bank Transfer,0,18.49,827.82,37.5,0,3,0,Yes
CUST200234,14,Two Year,Standard,Credit Card,0,56.29,770.85,63.8,1,5,1,No
CUST200235,29,One Year,Standard,Bank Transfer,1,68.18,1912.07,51.8,0,4,0,Yes
CUST200236,45,Month-to-Month,Standard,Bank Transfer,1,52.81,2215.38,27.6,0,3,1,Yes
CUST200237,25,Month-to-Month,Basic,Digital Wallet,0,31.41,771.66,28.5,2,3,2,No
CUST200238,8,One Year,Standard,Credit Card,0,55.46,428.47,39.5,0,3,2,No
CUST200239,18,Month-to-Month,Standard,Digital Wallet,1,51.23,897.84,33.7,1,3,1,No
CUST200240,31,Two Year,Standard,Credit Card,0,57.36,1739.73,46.6,2,3,2,No
CUST200241,16,Month-to-Month,Standard,Credit Card,1,58.32,917.96,51.8,1,3,1,No
CUST200242,63,Two Year,Premium,Digital Wallet,0,101.93,5984.79,95.3,3,4,3,No
CUST200243,7,Two Year,Basic,Credit Card,0,32.51,217.94,21.9,1,5,4,No
CUST200244,13,Month-to-Month,Basic,Credit Card,1,32.97,397.83,51.8,1,5,3,No
CUST200245,32,One Year,Standard,Credit Card,0,52.4,1656.5,72.0,0,5,2,No
CUST200246,27,Month-to-Month,Basic,Credit Card,0,21.09,534.12,31.1,3,3,3,Yes
CUST200247,2,One Year,Premium,Digital Wallet,0,100.84,187.64,132.3,0,3,0,No
CUST200248,17,Month-to-Month,Basic,Credit Card,0,15.0,243.19,26.5,3,3,3,No
CUST200249,30,Month-to-Month,Basic,Digital Wallet,1,28.89,797.83,59.6,0,4,0,No
CUST200250,36,Two Year,Standard,Bank Transfer,0,58.58,2042.12,46.7,1,4,1,No
CUST200251,32,Month-to-Month,Basic,Digital Wallet,0,27.05,861.67,5.6,3,3,1,Yes
CUST200252,8,One Year,Standard,Mailed Check,0,44.31,334.2,51.6,1,5,1,No
CUST200253,20,Month-to-Month,Premium,Mailed Check,0,89.0,1668.15,78.7,1,2,1,Yes
CUST200254,50,Month-to-Month,Premium,Bank Transfer,1,83.33,3874.38,92.4,0,4,0,Yes
CUST200255,6,One Year,Basic,Digital Wallet,0,30.23,174.06,18.1,1,4,0,No
CUST200256,35,One Year,Basic,Credit Card,1,19.76,657.5,36.0,0,3,1,No
CUST200257,31,Two Year,Standard,Credit Card,0,52.58,1538.98,51.5,4,3,3,No
CUST200258,18,One Year,Standard,Bank Transfer,0,57.71,1010.41,65.9,1,3,3,No
CUST200259,54,Month-to-Month,Standard,Credit Card,0,60.5,3123.5,76.6,1,4,1,No
CUST200260,20,Two Year,Premium,Bank Transfer,1,89.37,1703.05,71.6,2,4,1,No
CUST200261,41,Month-to-Month,Basic,Bank Transfer,1,21.91,834.0,42.9,2,5,1,Yes
CUST200262,30,Month-to-Month,Standard,Bank Transfer,0,54.13,1618.54,55.7,0,2,4,No
CUST200263,15,One Year,Standard,Bank Transfer,0,59.18,854.49,45.3,3,5,2,Yes
CUST200264,46,Month-to-Month,Standard,Credit Card,1,58.16,2639.31,81.4,4,3,1,Yes
CUST200265,16,Month-to-Month,Standard,Digital Wallet,0,64.51,1015.49,62.4,2,2,0,Yes
CUST200266,53,Two Year,Basic,Credit Card,0,21.32,1128.99,7.7,1,3,1,No
CUST200267,70,Month-to-Month,Standard,Credit Card,0,48.31,3145.59,58.8,3,3,1,No
CUST200268,30,Two Year,Standard,Credit Card,1,47.96,1436.42,26.9,1,3,1,No
CUST200269,36,One Year,Basic,Bank Transfer,1,26.86,920.18,51.0,2,3,0,No
CUST200270,15,Month-to-Month,Basic,Credit Card,0,25.61,373.32,51.3,2,3,0,No
CUST200271,40,Month-to-Month,Standard,Digital Wallet,1,59.81,2284.84,33.7,0,3,0,No
CUST200272,32,Month-to-Month,Premium,Credit Card,1,89.21,2672.54,96.4,1,4,0,No
CUST200273,36,Two Year,Standard,Credit Card,1,44.33,1475.38,43.8,1,4,2,No
CUST200274,57,Month-to-Month,Basic,Digital Wallet,1,19.16,1023.4,62.2,4,3,0,No
CUST200275,14,Month-to-Month,Basic,Digital Wallet,1,20.91,286.88,56.6,2,3,4,No
CUST200276,30,Month-to-Month,Premium,Credit Card,0,100.51,2822.47,97.8,2,3,0,No
CUST200277,11,Two Year,Basic,Digital Wallet,1,22.51,229.33,51.1,2,4,1,No
CUST200278,25,Month-to-Month,Basic,Credit Card,1,27.88,696.96,2.2,0,3,1,No
CUST200279,15,One Year,Premium,Mailed Check,1,96.16,1385.52,77.7,2,3,3,No
CUST200280,48,Month-to-Month,Basic,Credit Card,1,23.81,1052.2,11.1,2,4,0,No
CUST200281,39,Two Year,Standard,Bank Transfer,0,54.22,2035.76,23.4,1,5,1,No
