Customer_ID,Tenure_Months,Contract_Type,Service_Tier,Payment_Method,Autopay_Enrolled,Monthly_Charges,Total_Charges,Avg_Monthly_Usage_GB,Num_Support_Tickets,Satisfaction_Score,Num_Addon_Services,Churn,Expected_Lifetime_Months,Projected_CLV,Cluster,Customer_Segment,Churn_Risk_Score,Churn_Risk_Tier,Retention_Priority
CUST200111,38,Month-to-Month,Premium,Digital Wallet,1,82.5,2888.63,100.0,3,2,1,No,18,1485.0,1,Champions,63.9,Very High,Standard
CUST200112,64,Month-to-Month,Basic,Credit Card,1,25.0,1542.58,19.8,3,1,3,No,18,450.0,2,Low Engagement,35.6,Medium,Standard
CUST200113,55,One Year,Standard,Bank Transfer,0,43.09,2243.26,33.7,1,4,0,No,34,1465.06,2,Low Engagement,7.8,Low,Standard
CUST200114,50,Two Year,Premium,Credit Card,0,96.58,4725.74,89.7,0,3,2,Yes,52,5022.16,1,Champions,8.0,Low,Standard
CUST200115,23,Two Year,Standard,Mailed Check,1,58.23,1238.3,71.0,1,4,0,No,52,3027.96,0,Loyal Steady,13.8,Low,Standard
CUST200116,72,Month-to-Month,Standard,Digital Wallet,1,64.92,4619.62,48.8,2,4,1,No,18,1168.56,2,Low Engagement,12.8,Low,Standard
CUST200117,17,Month-to-Month,Standard,Bank Transfer,1,52.71,843.93,51.3,3,3,0,No,18,948.78,3,At Risk,60.5,High,Standard
CUST200118,8,One Year,Standard,Bank Transfer,0,59.88,446.56,60.5,3,3,1,No,34,2035.92,3,At Risk,41.1,Medium,Standard
CUST200119,8,Month-to-Month,Standard,Bank Transfer,0,54.05,413.86,77.9,0,4,0,No,18,972.9,0,Loyal Steady,40.0,Medium,Standard
CUST200120,25,Month-to-Month,Premium,Credit Card,1,95.28,2316.17,74.8,2,5,1,No,18,1715.04,1,Champions,26.9,Medium,Standard
CUST200121,19,One Year,Standard,Bank Transfer,1,46.22,875.63,42.9,3,3,0,No,34,1571.48,3,At Risk,32.1,Medium,Standard
CUST200122,50,Month-to-Month,Standard,Bank Transfer,1,44.32,2042.33,56.8,0,3,1,No,18,797.76,2,Low Engagement,19.3,Low,Standard
CUST200123,28,One Year,Standard,Bank Transfer,1,66.56,1767.63,54.8,3,4,1,No,34,2263.04,0,Loyal Steady,15.7,Low,Standard
CUST200124,42,Two Year,Premium,Mailed Check,1,89.22,3518.58,91.1,0,5,1,No,52,4639.44,1,Champions,4.7,Low,Standard
CUST200125,17,Month-to-Month,Basic,Bank Transfer,1,23.37,395.65,27.7,3,4,3,No,18,420.66,0,Loyal Steady,28.9,Medium,Standard
CUST200126,31,Month-to-Month,Standard,Bank Transfer,0,55.13,1625.89,48.2,1,3,2,Yes,18,992.34,3,At Risk,36.1,Medium,Standard
CUST200127,5,One Year,Basic,Bank Transfer,0,22.45,104.69,35.6,3,1,1,Yes,34,763.3,3,At Risk,60.4,High,Standard
CUST200128,36,Two Year,Standard,Digital Wallet,1,57.49,1968.7,37.9,2,4,0,No,52,2989.48,0,Loyal Steady,9.9,Low,Standard
CUST200129,31,Month-to-Month,Premium,Mailed Check,0,100.69,3040.72,92.7,4,3,0,No,18,1812.42,1,Champions,77.6,Very High,Standard
CUST200130,62,Month-to-Month,Standard,Bank Transfer,1,58.82,3621.1,63.0,1,2,0,No,18,1058.76,2,Low Engagement,31.0,Medium,Standard
CUST200131,51,Two Year,Basic,Credit Card,1,32.69,1637.9,16.0,1,4,1,No,52,1699.88,2,Low Engagement,3.2,Low,Standard
CUST200132,46,Two Year,Premium,Bank Transfer,0,115.68,5034.51,100.5,3,3,1,No,52,6015.36,1,Champions,20.7,Low,Standard
CUST200133,52,Month-to-Month,Basic,Digital Wallet,1,26.64,1314.83,5.4,1,5,1,No,18,479.52,2,Low Engagement,7.4,Low,Standard
CUST200134,9,Month-to-Month,Premium,Bank Transfer,1,100.68,883.33,110.8,0,3,0,No,18,1812.24,1,Champions,50.6,High,Standard
CUST200135,69,One Year,Standard,Mailed Check,0,59.19,4073.99,62.4,0,3,1,No,34,2012.46,2,Low Engagement,8.0,Low,Standard
CUST200136,5,Two Year,Basic,Digital Wallet,1,23.49,112.62,50.9,3,3,3,No,52,1221.48,3,At Risk,19.9,Low,Standard
CUST200137,11,Month-to-Month,Basic,Credit Card,1,30.93,339.09,39.8,1,2,1,No,18,556.74,3,At Risk,50.4,High,Standard
CUST200138,33,One Year,Basic,Bank Transfer,0,22.14,675.22,6.3,1,3,1,No,34,752.76,3,At Risk,12.8,Low,Standard
CUST200139,34,One Year,Premium,Digital Wallet,0,87.74,2955.27,87.9,2,4,2,No,34,2983.16,1,Champions,16.0,Low,Standard
CUST200140,40,Month-to-Month,Basic,Mailed Check,0,28.7,1077.8,32.5,1,3,0,No,18,516.6,2,Low Engagement,39.2,Medium,Standard
CUST200141,22,Month-to-Month,Standard,Credit Card,1,64.17,1315.81,41.6,2,3,2,No,18,1155.06,3,At Risk,41.1,Medium,Standard
CUST200142,31,Month-to-Month,Standard,Credit Card,1,47.98,1401.91,70.3,1,3,1,Yes,18,863.64,3,At Risk,34.5,Medium,Standard
CUST200143,30,Month-to-Month,Standard,Bank Transfer,0,60.16,1665.92,66.2,2,2,1,Yes,18,1082.88,3,At Risk,60.6,High,Standard
CUST200144,13,One Year,Basic,Bank Transfer,1,29.42,370.3,39.5,0,3,0,No,34,1000.28,3,At Risk,14.2,Low,Standard
CUST200145,10,Month-to-Month,Basic,Credit Card,1,21.15,202.37,2.0,1,3,2,No,18,380.7,3,At Risk,34.2,Medium,Standard
CUST200146,14,Month-to-Month,Premium,Mailed Check,1,90.23,1171.1,67.4,0,4,2,No,18,1624.14,1,Champions,34.8,Medium,Standard
CUST200147,35,Month-to-Month,Basic,Credit Card,0,15.0,503.14,21.0,3,4,2,No,18,270.0,0,Loyal Steady,29.2,Medium,Standard
CUST200148,41,Month-to-Month,Premium,Digital Wallet,0,92.74,3709.99,46.2,1,3,0,Yes,18,1669.32,1,Champions,44.5,High,Standard
CUST200149,28,Month-to-Month,Premium,Digital Wallet,1,100.06,2602.7,90.3,1,4,2,No,18,1801.08,1,Champions,27.2,Medium,Standard
CUST200150,19,Month-to-Month,Basic,Credit Card,0,32.35,611.97,50.8,1,3,0,No,18,582.3,3,At Risk,44.3,High,Standard
CUST200151,22,Month-to-Month,Basic,Credit Card,1,39.21,803.43,23.8,1,4,0,No,18,705.78,0,Loyal Steady,24.2,Low,Standard
CUST200152,72,One Year,Standard,Bank Transfer,1,57.86,3949.32,58.2,2,4,0,No,34,1967.24,2,Low Engagement,5.2,Low,Standard
CUST200153,36,Month-to-Month,Basic,Credit Card,1,22.57,765.01,2.0,2,3,1,No,18,406.26,3,At Risk,29.7,Medium,Standard
CUST200154,43,Month-to-Month,Standard,Credit Card,1,62.1,2495.12,73.1,0,5,0,No,18,1117.8,0,Loyal Steady,10.8,Low,Standard
CUST200155,72,Month-to-Month,Basic,Digital Wallet,1,31.9,2187.03,10.2,0,3,0,No,18,574.2,2,Low Engagement,10.3,Low,Standard
CUST200156,18,One Year,Premium,Bank Transfer,1,81.11,1358.44,97.2,1,4,1,No,34,2757.74,1,Champions,15.6,Low,Standard
CUST200157,37,Two Year,Premium,Bank Transfer,1,96.95,3307.23,89.5,1,3,1,No,52,5041.4,1,Champions,12.4,Low,Standard
CUST200158,11,Two Year,Basic,Mailed Check,1,22.08,239.26,10.9,3,4,1,No,52,1148.16,0,Loyal Steady,18.8,Low,Standard
CUST200159,13,Month-to-Month,Basic,Bank Transfer,1,37.66,462.44,27.2,1,1,2,No,18,677.88,3,At Risk,56.5,High,Standard
CUST200160,15,Month-to-Month,Standard,Credit Card,1,57.69,864.34,68.4,4,5,0,No,18,1038.42,0,Loyal Steady,44.4,High,Standard
CUST200161,31,Two Year,Basic,Bank Transfer,1,30.75,953.11,7.9,0,2,0,No,52,1599.0,3,At Risk,11.6,Low,Standard
CUST200162,13,Two Year,Standard,Bank Transfer,1,51.85,623.03,55.5,0,4,0,No,52,2696.2,0,Loyal Steady,9.8,Low,Standard
CUST200163,16,Month-to-Month,Premium,Digital Wallet,1,94.54,1426.73,78.8,2,4,0,No,18,1701.72,1,Champions,48.7,High,Standard
CUST200164,10,One Year,Premium,Digital Wallet,0,83.32,819.02,85.7,1,4,0,No,34,2832.88,1,Champions,26.9,Medium,Standard
CUST200165,72,Two Year,Basic,Credit Card,1,23.42,1613.01,58.3,3,3,5,No,52,1217.84,2,Low Engagement,3.0,Low,Standard
CUST200166,15,One Year,Standard,Bank Transfer,1,67.41,954.81,57.1,1,2,1,No,34,2291.94,3,At Risk,28.4,Medium,Standard
CUST200167,21,Two Year,Premium,Mailed Check,1,98.32,1951.24,86.0,2,3,0,No,52,5112.64,1,Champions,32.1,Medium,Standard
CUST200168,16,Month-to-Month,Standard,Credit Card,1,51.35,821.33,48.1,0,4,1,No,18,924.3,0,Loyal Steady,25.2,Medium,Standard
CUST200169,15,Month-to-Month,Standard,Credit Card,1,49.59,702.3,73.7,2,2,0,Yes,18,892.62,3,At Risk,67.4,Very High,Standard
CUST200170,25,Month-to-Month,Standard,Bank Transfer,0,60.4,1416.01,65.4,2,4,1,Yes,18,1087.2,0,Loyal Steady,38.9,Medium,Standard
CUST200171,64,Month-to-Month,Premium,Mailed Check,0,96.89,5884.83,116.7,0,4,1,Yes,18,1744.02,1,Champions,19.8,Low,Standard
CUST200172,15,Two Year,Basic,Credit Card,1,24.02,353.23,27.8,1,2,1,Yes,52,1249.04,3,At Risk,18.9,Low,Standard
CUST200173,23,Month-to-Month,Basic,Bank Transfer,0,21.89,493.58,39.4,1,2,0,Yes,18,394.02,3,At Risk,54.4,High,Standard
CUST200174,36,One Year,Basic,Credit Card,1,30.58,1066.64,44.2,2,2,1,Yes,34,1039.72,3,At Risk,19.0,Low,Standard
CUST200175,60,Month-to-Month,Standard,Credit Card,1,44.44,2468.45,40.0,1,3,2,No,18,799.92,2,Low Engagement,17.2,Low,Standard
CUST200176,27,Month-to-Month,Standard,Credit Card,0,51.36,1332.63,49.1,0,4,0,No,18,924.48,0,Loyal Steady,28.6,Medium,Standard
CUST200177,28,Month-to-Month,Basic,Bank Transfer,1,22.24,621.93,23.5,2,4,1,No,18,400.32,0,Loyal Steady,24.2,Low,Standard
CUST200178,13,Month-to-Month,Basic,Digital Wallet,1,21.61,271.67,2.0,2,3,0,No,18,388.98,3,At Risk,48.4,High,Standard
CUST200179,49,Month-to-Month,Basic,Bank Transfer,1,31.13,1452.56,37.6,0,4,2,No,18,560.34,2,Low Engagement,8.1,Low,Standard
CUST200180,4,Month-to-Month,Premium,Digital Wallet,1,100.84,374.53,80.2,0,5,2,No,18,1815.12,1,Champions,23.5,Low,Standard
CUST200181,72,Month-to-Month,Basic,Mailed Check,1,21.04,1414.09,6.9,1,3,1,No,18,378.72,2,Low Engagement,15.2,Low,Standard
CUST200182,12,One Year,Basic,Credit Card,0,29.08,328.06,17.6,3,2,2,Yes,34,988.72,3,At Risk,38.7,Medium,Standard
